,UniqueID,Week,Time,RealScore,ProjScore,LeagueId,LeagueName,Order,TeamId,TeamName
56,910981_7,1,0,135.86,116.93,910981,AFC,1,7,Joe's Minions
24,910981_9,1,0,118.24,115.61,910981,AFC,2,9,Armchair Quarterback
48,910981_4,1,0,109.26,113.63,910981,AFC,3,4,Scotty Doesn't Know
40,910981_8,1,0,85.44,115.58,910981,AFC,4,8,Roger Rodgers!
64,910981_5,1,0,122.48,112.06,910981,AFC,5,5,Five Rings
32,910981_3,1,0,171.92,122.44,910981,AFC,6,3,Moose
16,910981_2,1,0,92.54,119.7,910981,AFC,7,2,Muddy Chicken Club
0,910981_1,1,0,108.6,117.5,910981,AFC,8,1,Living on a Prater
8,910981_10,1,0,76.54,109.92,910981,AFC,9,10,Lydia's Perfect Team
72,910981_11,1,0,99.66,99.95,910981,AFC,10,11,Meeseeks and Destroy
57,910981_7,2,0,105.26,105.76,910981,AFC,1,7,Joe's Minions
25,910981_9,2,0,106.04,114.4,910981,AFC,2,9,Armchair Quarterback
49,910981_4,2,0,102.4,108.4,910981,AFC,3,4,Scotty Doesn't Know
41,910981_8,2,0,94.04,108.89,910981,AFC,4,8,Roger Rodgers!
65,910981_5,2,0,112.96,101.24,910981,AFC,5,5,Five Rings
33,910981_3,2,0,112.54,116.81,910981,AFC,6,3,Moose
17,910981_2,2,0,103.8,110.89,910981,AFC,7,2,Muddy Chicken Club
1,910981_1,2,0,154.68,111.12,910981,AFC,8,1,Living on a Prater
9,910981_10,2,0,88.0,107.46,910981,AFC,9,10,Lydia's Perfect Team
73,910981_11,2,0,113.42,105.9,910981,AFC,10,11,Meeseeks and Destroy
58,910981_7,3,0,98.36,120.54,910981,AFC,1,7,Joe's Minions
26,910981_9,3,0,129.24,112.51,910981,AFC,2,9,Armchair Quarterback
50,910981_4,3,0,111.04,106.57,910981,AFC,3,4,Scotty Doesn't Know
42,910981_8,3,0,76.9,102.14,910981,AFC,4,8,Roger Rodgers!
66,910981_5,3,0,91.12,116.39,910981,AFC,5,5,Five Rings
34,910981_3,3,0,121.88,102.04,910981,AFC,6,3,Moose
18,910981_2,3,0,104.8,100.32,910981,AFC,7,2,Muddy Chicken Club
2,910981_1,3,0,123.42,108.88,910981,AFC,8,1,Living on a Prater
10,910981_10,3,0,116.0,104.2,910981,AFC,9,10,Lydia's Perfect Team
74,910981_11,3,0,99.84,102.25,910981,AFC,10,11,Meeseeks and Destroy
59,910981_7,4,0,120.36,114.75,910981,AFC,1,7,Joe's Minions
27,910981_9,4,0,131.56,111.75,910981,AFC,2,9,Armchair Quarterback
51,910981_4,4,0,150.78,107.1,910981,AFC,3,4,Scotty Doesn't Know
43,910981_8,4,0,116.32,100.25,910981,AFC,4,8,Roger Rodgers!
67,910981_5,4,0,122.86,111.76,910981,AFC,5,5,Five Rings
35,910981_3,4,0,104.38,117.67,910981,AFC,6,3,Moose
19,910981_2,4,0,64.9,86.11,910981,AFC,7,2,Muddy Chicken Club
3,910981_1,4,0,130.06,110.86,910981,AFC,8,1,Living on a Prater
11,910981_10,4,0,132.2,108.54,910981,AFC,9,10,Lydia's Perfect Team
75,910981_11,4,0,103.88,101.0,910981,AFC,10,11,Meeseeks and Destroy
60,910981_7,5,0,141.46,118.78,910981,AFC,1,7,Joe's Minions
28,910981_9,5,0,137.7,116.89,910981,AFC,2,9,Armchair Quarterback
52,910981_4,5,0,116.44,114.3,910981,AFC,3,4,Scotty Doesn't Know
44,910981_8,5,0,110.58,104.65,910981,AFC,4,8,Roger Rodgers!
68,910981_5,5,0,91.04,101.77,910981,AFC,5,5,Five Rings
36,910981_3,5,0,78.02,109.3,910981,AFC,6,3,Moose
20,910981_2,5,0,126.48,103.46,910981,AFC,7,2,Muddy Chicken Club
4,910981_1,5,0,115.1,118.94,910981,AFC,8,1,Living on a Prater
12,910981_10,5,0,106.08,96.32,910981,AFC,9,10,Lydia's Perfect Team
76,910981_11,5,0,105.52,95.97,910981,AFC,10,11,Meeseeks and Destroy
61,910981_7,6,0,130.78,123.37,910981,AFC,1,7,Joe's Minions
29,910981_9,6,0,127.9,119.96,910981,AFC,2,9,Armchair Quarterback
53,910981_4,6,0,140.12,114.61,910981,AFC,3,4,Scotty Doesn't Know
45,910981_8,6,0,159.6,109.08,910981,AFC,4,8,Roger Rodgers!
69,910981_5,6,0,111.2,115.37,910981,AFC,5,5,Five Rings
37,910981_3,6,0,142.78,97.93,910981,AFC,6,3,Moose
21,910981_2,6,0,96.0,114.51,910981,AFC,7,2,Muddy Chicken Club
5,910981_1,6,0,122.76,112.04,910981,AFC,8,1,Living on a Prater
13,910981_10,6,0,55.58,95.74,910981,AFC,9,10,Lydia's Perfect Team
77,910981_11,6,0,82.08,93.58,910981,AFC,10,11,Meeseeks and Destroy
62,910981_7,7,0,155.42,116.29,910981,AFC,1,7,Joe's Minions
30,910981_9,7,0,107.46,112.47,910981,AFC,2,9,Armchair Quarterback
54,910981_4,7,0,91.34,113.05,910981,AFC,3,4,Scotty Doesn't Know
46,910981_8,7,0,112.02,90.91,910981,AFC,4,8,Roger Rodgers!
70,910981_5,7,0,91.8,97.3,910981,AFC,5,5,Five Rings
38,910981_3,7,0,100.68,108.31,910981,AFC,6,3,Moose
22,910981_2,7,0,75.56,109.83,910981,AFC,7,2,Muddy Chicken Club
6,910981_1,7,0,90.02,100.91,910981,AFC,8,1,Living on a Prater
14,910981_10,7,0,91.26,79.08,910981,AFC,9,10,Lydia's Perfect Team
78,910981_11,7,0,103.38,80.61,910981,AFC,10,11,Meeseeks and Destroy
63,910981_7,8,0,117.12,126.16,910981,AFC,1,7,Joe's Minions
31,910981_9,8,0,168.14,108.79,910981,AFC,2,9,Armchair Quarterback
55,910981_4,8,0,88.16,115.07,910981,AFC,3,4,Scotty Doesn't Know
47,910981_8,8,0,100.54,108.76,910981,AFC,4,8,Roger Rodgers!
71,910981_5,8,0,133.76,109.94,910981,AFC,5,5,Five Rings
39,910981_3,8,0,121.4,117.03,910981,AFC,6,3,Moose
23,910981_2,8,0,114.36,91.66,910981,AFC,7,2,Muddy Chicken Club
7,910981_1,8,0,128.68,115.02,910981,AFC,8,1,Living on a Prater
15,910981_10,8,0,95.06,82.07,910981,AFC,9,10,Lydia's Perfect Team
79,910981_11,8,0,100.7,97.75,910981,AFC,10,11,Meeseeks and Destroy
